Element_no.,node_1,node_2,node_3
1359,209,211,210
1360,251,1106,256
1361,256,258,257
1362,256,1185,258
1363,258,265,260
1364,295,997,291
1365,301,999,295
1366,305,306,301
1367,312,313,308
1368,325,326,324
1369,325,328,326
1370,328,329,326
1371,328,330,329
1372,364,432,348
1373,378,939,375
1374,412,414,413
1375,415,417,416
1376,424,1187,417
1377,421,1112,1017
1378,480,902,428
1379,467,526,466
1380,476,571,536
1381,483,570,485
1382,488,489,486
1383,523,688,501
1384,558,1204,1115
1385,580,752,751
1386,587,904,899
1387,780,781,592
1388,667,1176,1108
1389,689,690,688
1390,738,807,731
1391,799,800,737
1392,792,793,754
1393,756,818,758
1394,883,884,776
1395,1256,1294,796
1396,856,857,811
1397,999,1113,997
1398,1116,1192,1183
1399,86,1010,85
1400,129,152,128
1401,197,199,198
1402,251,252,248
1403,253,254,252
1404,256,257,253
1405,254,671,547
1406,254,1160,672
1407,260,261,259
1408,310,338,306
1409,314,316,315
1410,318,319,317
1411,318,1104,556
1412,322,1184,325
1413,326,327,324
1414,327,913,324
1415,338,1053,664
1416,343,351,342
1417,350,367,364
1418,350,368,367
1419,361,979,455
1420,376,464,463
1421,454,1112,416
1422,427,555,478
1423,471,522,472
1424,488,490,489
1425,492,1102,495
1426,590,1134,527
1427,571,578,536
1428,539,632,584
1429,541,1187,701
1430,597,630,579
1431,587,899,898
1432,597,778,630
1433,921,922,640
1434,672,712,671
1435,736,799,737
1436,778,896,809
1437,835,849,836
1438,16,147,15
1439,35,1139,177
1440,45,156,44
1441,101,1147,184
1442,174,1005,112
1443,134,1152,178
1444,241,1069,444
1445,261,267,263
1446,471,472,277
1447,320,321,319
1448,332,1047,1046
1449,640,941,363
1450,369,371,370
1451,379,1126,1053
1452,440,517,449
1453,462,542,461
1454,481,483,482
1455,486,1064,484
1456,581,966,629
1457,608,631,609
1458,760,1019,682
1459,691,700,690
1460,712,1257,1115
1461,785,786,784
1462,880,1151,784
1463,785,787,786
1464,989,990,987
1465,1041,1042,1001
1466,118,167,117
1467,242,1121,443
1468,257,1160,253
1469,262,1197,259
1470,311,312,308
1471,318,320,319
1472,341,347,338
1473,344,348,343
1474,363,941,366
1475,364,457,432
1476,412,923,415
1477,415,416,414
1478,435,1075,420
1479,478,479,428
1480,592,1126,456
1481,457,460,458
1482,467,527,526
1483,492,495,494
1484,543,579,542
1485,564,713,623
1486,575,756,574
1487,581,629,628
1488,635,767,583
1489,607,707,706
1490,649,650,647
1491,1161,1195,672
1492,684,1173,1135
1493,685,687,686
1494,701,762,761
1495,1187,1243,701
1496,706,1238,919
1497,762,763,761
1498,767,837,768
1499,772,1268,964
1500,792,1230,793
1501,793,1230,845
1502,814,853,819
1503,828,829,823
1504,845,846,844
1505,1079,1207,1164
1506,22,926,21
1507,129,1179,152
1508,152,996,995
1509,195,197,196
1510,310,341,338
1511,337,342,335
1512,337,343,342
1513,351,427,426
1514,456,1126,379
1515,381,1063,383
1516,427,478,428
1517,460,539,477
1518,479,481,480
1519,479,1193,573
1520,581,628,519
1521,541,701,635
1522,616,704,557
1523,758,1193,574
1524,808,1209,579
1525,589,637,591
1526,594,641,593
1527,775,776,596
1528,618,796,789
1529,637,773,638
1530,770,1008,649
1531,732,734,733
1532,748,750,749
1533,847,876,755
1534,795,1252,1144
1535,929,1213,1201
1536,175,1009,46
1537,180,1081,126
1538,266,557,262
1539,316,317,315
1540,352,361,347
